ensaio_id,razao_molar_eta,C_acid_0_mol_L,C_acid_0_g_L,razao_SL_g_L,massa_solido_g,volume_solucao_L,temperatura_C,agitacao_rpm,tempo_min,tempo_s,X_zn_exp,X_zn_final,X_fe_final,C_acid_final_mol_L,pH_final,X_pbm,C_acid_pbm_mol_L,delta_X
1,0.5,0.1,9.81,20.0,8.0,0.4,40.0,1000.0,0.0,0.0,0.0,0.5,0.0,9.8e-07,6.0,0.0,0.1,0.0
1,0.5,0.1,9.81,20.0,8.0,0.4,40.0,1000.0,0.5,30.0,0.42,0.5,0.0,9.8e-07,6.0,0.32391717135747466,0.03521656572850507,0.09608282864252532
1,0.5,0.1,9.81,20.0,8.0,0.4,40.0,1000.0,1.0,60.0,0.46,0.5,0.0,9.8e-07,6.0,0.42164923690069767,0.015670152619860468,0.038350763099302354
1,0.5,0.1,9.81,20.0,8.0,0.4,40.0,1000.0,2.0,120.0,0.46,0.5,0.0,9.8e-07,6.0,0.48100227168461174,0.0037995456630776528,-0.021002271684611717
1,0.5,0.1,9.81,20.0,8.0,0.4,40.0,1000.0,3.0,180.0,0.49,0.5,0.0,9.8e-07,6.0,0.49500840736673557,0.000998318526652886,-0.005008407366735579
1,0.5,0.1,9.81,20.0,8.0,0.4,40.0,1000.0,4.0,240.0,0.51,0.5,0.0,9.8e-07,6.0,0.4986616427303665,0.0002676714539266989,0.011338357269633503
1,0.5,0.1,9.81,20.0,8.0,0.4,40.0,1000.0,5.0,300.0,0.49,0.5,0.0,9.8e-07,6.0,0.49963959291984616,7.208141603076701e-05,-0.009639592919846174
1,0.5,0.1,9.81,20.0,8.0,0.4,40.0,1000.0,15.0,900.0,0.5,0.5,0.0,9.8e-07,6.0,0.5000001806944836,0.0,-1.8069448359803175e-07
2,3.1,0.1,9.81,3.0,1.3,0.4,40.0,1000.0,0.0,0.0,0.0,1.0,0.09,0.06,1.2,0.0,0.1,0.0
2,3.1,0.1,9.81,3.0,1.3,0.4,40.0,1000.0,0.5,30.0,0.82,1.0,0.09,0.06,1.2,0.4507746087704372,0.08545888358805043,0.36922539122956277
2,3.1,0.1,9.81,3.0,1.3,0.4,40.0,1000.0,1.0,60.0,0.9,1.0,0.09,0.06,1.2,0.6779054047345506,0.0781320837182403,0.2220945952654494
2,3.1,0.1,9.81,3.0,1.3,0.4,40.0,1000.0,2.0,120.0,0.95,1.0,0.09,0.06,1.2,0.8789602344608339,0.07164644404965052,0.07103976553916602
2,3.1,0.1,9.81,3.0,1.3,0.4,40.0,1000.0,3.0,180.0,0.97,1.0,0.09,0.06,1.2,0.9522278569942446,0.06928297235502437,0.01777214300575536
2,3.1,0.1,9.81,3.0,1.3,0.4,40.0,1000.0,4.0,240.0,0.97,1.0,0.09,0.06,1.2,0.9808229038212211,0.06836055148963803,-0.010822903821221086
2,3.1,0.1,9.81,3.0,1.3,0.4,40.0,1000.0,5.0,300.0,0.99,1.0,0.09,0.06,1.2,0.9922613184666939,0.06799157037204213,-0.0022613184666938624
2,3.1,0.1,9.81,3.0,1.3,0.4,40.0,1000.0,15.0,900.0,1.0,1.0,0.09,0.06,1.2,0.9999991563553554,0.06774196269821435,8.436446445880819e-07
3,0.5,0.5,49.04,100.0,40.0,0.4,40.0,1000.0,0.0,0.0,0.0,0.5,0.0,4.2e-06,5.4,0.0,0.5,0.0
3,0.5,0.5,49.04,100.0,40.0,0.4,40.0,1000.0,0.5,30.0,0.45,0.5,0.0,4.2e-06,5.4,0.49030380912640004,0.009696190873599964,-0.040303809126400025
